Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,107.492828,119.263863,104.804016,107.313576,59.723072,183321540
2000-02-01,107.433075,114.483749,96.498566,98.231361,54.668526,139666521
2000-03-01,97.514343,122.609940,95.124283,113.169212,63.048168,203268134
2000-04-01,114.722755,122.370934,96.797325,106.596558,59.386467,176214181
2000-05-01,107.552582,108.628105,97.514343,102.593208,57.156136,129498146
2000-06-01,102.832214,116.933556,100.860420,104.744263,58.424927,142482251
2000-07-01,103.967499,112.631454,95.602295,107.313576,59.858059,157036395
2000-08-01,107.074570,128.346085,105.401527,126.209969,70.398224,127609906
2000-09-01,127.210800,129.003342,105.401527,107.672081,60.125233,112411947
2000-10-01,107.672081,114.364243,83.114243,94.168259,52.584538,233791458
2000-11-01,94.108505,99.784897,87.595604,89.388145,49.915295,136410847
2000-12-01,90.284416,100.143402,76.541588,81.261948,45.435238,175509074
2001-01-01,80.783936,111.615677,80.066925,107.074570,59.867661,208114878
2001-02-01,107.456978,113.422562,94.741875,95.506691,53.399792,163635088
2001-03-01,94.933075,103.632889,83.795410,91.950287,51.469917,266259300
2001-04-01,93.164436,112.858505,86.089867,110.076485,61.616196,236616603
2001-05-01,110.755257,114.627151,106.080307,106.883362,59.828838,166686584
2001-06-01,107.552582,113.766731,106.214149,108.508606,60.812046,149504465
2001-07-01,108.508606,110.325050,97.093689,100.583176,56.370358,168423156
2001-08-01,100.717018,105.248566,94.512428,95.554497,53.552097,149997969
2001-09-01,95.745697,98.594643,83.642448,87.686424,49.207367,198020876
2001-10-01,87.686424,107.170174,87.323135,103.317398,57.979095,234671667
2001-11-01,102.533463,111.854683,102.198853,110.506691,62.013561,141352568
2001-12-01,109.751434,119.216064,108.231361,115.640533,64.974579,139529912
2002-01-01,115.296364,120.831741,96.558319,103.145317,57.953949,202466792
2002-02-01,102.906311,104.493309,91.548759,93.804970,52.705891,180247765
2002-03-01,94.263863,104.063095,94.168259,99.426384,55.938065,158226850
2002-04-01,99.426384,99.426384,79.674950,80.076485,45.051670,257842453
2002-05-01,80.162521,82.686424,72.581261,76.912048,43.271343,180684368
2002-06-01,77.198853,77.390060,63.193115,68.833649,38.802429,199765814
2002-07-01,68.843208,70.936905,62.810707,67.304016,37.940163,257584716
2002-08-01,67.304016,79.206497,62.954109,72.065010,40.623993,173973126
2002-09-01,70.936905,74.091782,55.439770,55.745697,31.494162,194204963
2002-10-01,56.596558,76.281075,51.634800,75.468452,42.636753,298765110
2002-11-01,75.430206,84.235184,73.326958,83.097511,46.946861,192922252
2002-12-01,84.703636,85.525810,72.275337,74.091782,41.936020,158535421
2003-01-01,75.334610,85.038239,73.632889,74.760994,42.314774,202854441
2003-02-01,74.760994,76.529640,71.042068,74.521988,42.179516,152373642
2003-03-01,75.430206,81.166351,69.952202,74.980881,42.521790,200766311
2003-04-01,75.047798,82.686424,74.684509,81.166351,46.029579,186056518
2003-05-01,81.548759,86.424477,80.736137,84.168259,47.731972,156427206
2003-06-01,85.086044,85.162521,76.300194,78.871895,44.810303,192974761
2003-07-01,77.820267,83.202675,77.036331,77.676865,44.131390,160995717
2003-08-01,77.581261,80.994263,75.267685,78.403442,44.544174,119134378
2003-09-01,78.776291,89.359467,78.680687,84.445503,48.073265,179852483
2003-10-01,84.847038,90.382408,83.680687,85.544930,48.699135,163328087
2003-11-01,85.946465,87.456978,83.862335,86.558319,49.276054,102472540
2003-12-01,86.902489,89.980881,86.070747,88.604210,50.532074,121444365
2004-01-01,88.776291,95.458893,85.095604,94.866158,54.103336,145779452
2004-02-01,94.789673,96.013382,91.013382,92.256210,52.614853,102238026
2004-03-01,92.256210,93.307838,86.309753,87.801147,50.155266,130209950
2004-04-01,87.638626,90.391968,84.139580,84.292542,48.151012,115721072
2004-05-01,84.254303,85.803062,81.376671,84.694077,48.380394,109523838
2004-06-01,84.130020,87.198853,83.460800,84.273422,48.237675,96199154
2004-07-01,84.397705,84.550667,79.751434,83.240921,47.646706,126567046
2004-08-01,83.049713,83.546844,78.298279,80.965584,46.344303,95363504
2004-09-01,80.353729,83.441681,79.579353,81.969406,47.018253,98225988
2004-10-01,82.170174,86.300194,80.583176,85.803062,49.217266,123549440
2004-11-01,85.401527,92.380501,85.305923,90.095604,51.679485,120271278
2004-12-01,90.344170,94.646271,90.315491,94.244743,54.163990,113146239
